iteracija,u1,u2,vrijednost
207,511.5926786898785,311.29893723798824,-6.313385279406015e+307
208,511.5926786898785,311.29893723798824,-6.313385279406015e+307
209,511.5926786898785,311.29893723798824,-6.313385279406015e+307
210,511.5926786898785,311.29893723798824,-6.313385279406015e+307
211,511.5926786898785,311.29893723798824,-6.313385279406015e+307
212,511.5926786898785,311.29893723798824,-6.313385279406015e+307
213,511.5926786898785,311.29893723798824,-6.313385279406015e+307
214,511.5926786898785,311.29893723798824,-6.313385279406015e+307
215,511.5926786898785,311.29893723798824,-6.313385279406015e+307
216,511.5926786898785,311.29893723798824,-6.313385279406015e+307
217,511.5926786898785,311.29893723798824,-6.313385279406015e+307
218,511.5926786898785,311.29893723798824,-6.313385279406015e+307
219,511.5926786898785,311.29893723798824,-6.313385279406015e+307
220,511.5926786898785,311.29893723798824,-6.313385279406015e+307
221,511.5926786898785,311.29893723798824,-6.313385279406015e+307
222,511.5926786898785,311.29893723798824,-6.313385279406015e+307
223,511.5926786898785,311.29893723798824,-6.313385279406015e+307
224,511.5926786898785,311.29893723798824,-6.313385279406015e+307
225,511.5926786898785,311.29893723798824,-6.313385279406015e+307
226,511.5926786898785,311.29893723798824,-6.313385279406015e+307
227,511.5926786898785,311.29893723798824,-6.313385279406015e+307
228,511.5926786898785,311.29893723798824,-6.313385279406015e+307
229,511.5926786898785,311.29893723798824,-6.313385279406015e+307
230,511.5926786898785,311.29893723798824,-6.313385279406015e+307
231,511.5926786898785,311.29893723798824,-6.313385279406015e+307
232,511.5926786898785,311.29893723798824,-6.313385279406015e+307
233,511.5926786898785,311.29893723798824,-6.313385279406015e+307
234,511.5926786898785,311.29893723798824,-6.313385279406015e+307
235,511.5926786898785,311.29893723798824,-6.313385279406015e+307
236,511.5926786898785,311.29893723798824,-6.313385279406015e+307
237,511.5926786898785,311.29893723798824,-6.313385279406015e+307
238,511.5926786898785,311.29893723798824,-6.313385279406015e+307
239,511.5926786898785,311.29893723798824,-6.313385279406015e+307
240,511.5926786898785,311.29893723798824,-6.313385279406015e+307
241,511.5926786898785,311.29893723798824,-6.313385279406015e+307
242,511.5926786898785,311.29893723798824,-6.313385279406015e+307
243,511.5926786898785,311.29893723798824,-6.313385279406015e+307
244,511.5926786898785,311.29893723798824,-6.313385279406015e+307
245,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
246,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
247,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
248,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
249,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
250,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
251,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
252,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
253,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
254,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
255,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
256,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
257,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
258,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
259,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
260,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
261,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
262,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
263,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
264,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
265,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
266,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
267,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
268,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
269,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
270,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
271,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
272,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
